movie_title,review,clean_review,label
아바타- 불과 재,명불허전의 아바타라 그런지 영상미가 좋네요,명불허전의 아바타라 그런지 영상미가 좋네요,normal
아바타- 불과 재,3시간반이 전혀 길지않게 정말 재있게 잘 봤습니다.,3시간반이 전혀 길지않게 정말 재있게 잘 봤습니다,normal
아바타- 불과 재,전작보다 전개가 더 단단해진 느낌이라 좋았습니다,전작보다 전개가 더 단단해진 느낌이라 좋았습니다,normal
아바타- 불과 재,모처럼 3시간 내내 긴장감을 느끼며 흥미로운 시간이  되었슴다!!!,모처럼 3시간 내내 긴장감을 느끼며 흥미로운 시간이  되었슴다,normal
아바타- 불과 재,아이맥스로 봐야 될듯...,아이맥스로 봐야 될듯,normal
아바타- 불과 재,집에서 봤으면 집중 못 했을 것 같다는 생각이 들더라고요,집에서 봤으면 집중 못 했을 것 같다는 생각이 들더라고요,normal
아바타- 불과 재,확실히 영상미는 대단합니다.,확실히 영상미는 대단합니다,normal
아바타- 불과 재,소리랑 화면이 같이 밀고 들어와서 몰입이 잘 됐어요!!,소리랑 화면이 같이 밀고 들어와서 몰입이 잘 됐어요,positive
아바타- 불과 재,기대보다 좀 아쉬웠지만 역시나 김찌 맛집,기대보다 좀 아쉬웠지만 역시나 김찌 맛집,normal
아바타- 불과 재,2편과 3편을 복붙하듯 거의 동일한 스토리로 만들 거면 왜 3편을 제작했는지 모르겠을 정도로 실망이네요. IMAX 3D로 관람해서 그나마 그래픽만 좋을 뿐 이젠 스토리도 진부해지고 질질 끌면서 지루합니다.,2편과 3편을 복붙하듯 거의 동일한 스토리로 만들 거면 왜 3편을 제작했는지 모르겠을 정도로 실망이네요 IMAX 3D로 관람해서 그나마 그래픽만 좋을 뿐 이젠 스토리도 진부해지고 질질 끌면서 지루합니다,negative
아바타- 불과 재,"아니....! 제임스 카메론 감독
또 하나의 명작을 탄생시켰다
진짜 너무재밌어요
또 볼수있으면 10번도 더보고싶음
아바타10까지달려보자고",아니 제임스 카메론 감독 또 하나의 명작을 탄생시켰다 진짜 너무재밌어요 또 볼수있으면 10번도 더보고싶음 아바타10까지달려보자고,positive
아바타- 불과 재,액션 장면이 많아도 흐름이 끊기지 않아서 보기 편했습니다,액션 장면이 많아도 흐름이 끊기지 않아서 보기 편했습니다,normal
아바타- 불과 재,러닝타임 길어서 걱정했는데 끝나고 보니 아쉽게 느껴졌어요,러닝타임 길어서 걱정했는데 끝나고 보니 아쉽게 느껴졌어요,negative
아바타- 불과 재,재미있는관람 했읍니다,재미있는관람 했읍니다,positive
아바타- 불과 재,극장에서 봐야 한다는 말이 왜 나오는지 바로 이해됨ㅡㅡ,극장에서 봐야 한다는 말이 왜 나오는지 바로 이해됨,normal
아바타- 불과 재,오랜만에 별점 주는 게 쉬운 영화였습니다,오랜만에 별점 주는 게 쉬운 영화였습니다,normal
아바타- 불과 재,아바타는 늘 신비롭고 대단하지만 3시간 17분의 러닝타임은 스토리상 너무 길다,아바타는 늘 신비롭고 대단하지만 3시간 17분의 러닝타임은 스토리상 너무 길다,normal
아바타- 불과 재,"스케일이 크고 볼거리가 많은 영화입니다.
재미있어서 시간이 금방 지나가요.",스케일이 크고 볼거리가 많은 영화입니다 재미있어서 시간이 금방 지나가요,positive
아바타- 불과 재,3시간인데 몰입했네요,3시간인데 몰입했네요,positive
아바타- 불과 재,영화 끝나고 나서 기분이 나쁘지 않은 상태,영화 끝나고 나서 기분이 나쁘지 않은 상태,normal
아바타- 불과 재,큰 기대 없이 갔다가 만족하고 나온 작품,큰 기대 없이 갔다가 만족하고 나온 작품,positive
아바타- 불과 재,시리즈 몰라도 충분히 즐길 수 있을 것 같습니다,시리즈 몰라도 충분히 즐길 수 있을 것 같습니다,normal
아바타- 불과 재,누군가 극장이 왜 있어야하느냐고 묻는다면 아바타! 라고 답하겠다.  안그런가?,누군가 극장이 왜 있어야하느냐고 묻는다면 아바타 라고 답하겠다  안그런가,normal
아바타- 불과 재,시간 가는줄 모르고 재미있게 봤어요.3D로 보니까는 더 재미있는거 같아요.,시간 가는줄 모르고 재미있게 봤어요3D로 보니까는 더 재미있는거 같아요,positive
아바타- 불과 재,역시 기대에 어긋남없이 완벽한 영화👍,역시 기대에 어긋남없이 완벽한 영화,normal
아바타- 불과 재,엔딩이 정리형이라 개인적으로 더 마음에 들었어요~!!,엔딩이 정리형이라 개인적으로 더 마음에 들었어요,normal
아바타- 불과 재,아바타 화려한 영상을 즐기려먄 IMAX 강추,아바타 화려한 영상을 즐기려먄 IMAX 강추,normal
아바타- 불과 재,"훌륭한 영상미와 전투장면. 하지만 전편과 비슷하게 반복되는 스토리와 어디선가 봐왔던 익숙한 설정들의 남발.(성경, 스타워즈, 클레오파트라 등등이 생각남) 더이상 다음 이야기가 궁금하지 않음.",훌륭한 영상미와 전투장면 하지만 전편과 비슷하게 반복되는 스토리와 어디선가 봐왔던 익숙한 설정들의 남발성경 스타워즈 클레오파트라 등등이 생각남 더이상 다음 이야기가 궁금하지 않음,positive
아바타- 불과 재,볼만은 한데 어디서 본듯한 애니나 게임장면이 생각납니다,볼만은 한데 어디서 본듯한 애니나 게임장면이 생각납니다,normal
아바타- 불과 재,이 정도 스케일 영화는 자주 나오지 않아서 더 값지게 느껴져요,이 정도 스케일 영화는 자주 나오지 않아서 더 값지게 느껴져요,normal
아바타- 불과 재,햄람쥐님은 실관람객입니다.,햄람쥐님은 실관람객입니다,normal
아바타- 불과 재,미쳤다.... 이건 진짜 ㅎ,미쳤다 이건 진짜 ㅎ,normal
아바타- 불과 재,별점 고민 없이 높게 주게 되는 영화였습니다~~~,별점 고민 없이 높게 주게 되는 영화였습니다,normal
아바타- 불과 재,"2편 물의길 에서 이어지는 확장판 망칸족 족장 바랑은 초반만 위압감을 보이고 제이크가 토루크 막토가 되어 쿼리치 대령과 계속 투쟁 하며 하늘,바다 에서 벌어지는 전투 장면,연말에 대적할 작품이 없다.",2편 물의길 에서 이어지는 확장판 망칸족 족장 바랑은 초반만 위압감을 보이고 제이크가 토루크 막토가 되어 쿼리치 대령과 계속 투쟁 하며 하늘바다 에서 벌어지는 전투 장면연말에 대적할 작품이 없다,normal
아바타- 불과 재,극장 경험 자체를 중요하게 생각하신다면 꼭 보시길ㅋ,극장 경험 자체를 중요하게 생각하신다면 꼭 보시길ㅋ,normal
아바타- 불과 재,역시나 너무 잼있어요!!스토리 진행 영상~~몰입감 최고네유~~ㅎ올만에 극장에서 볼만한 영화였네여,역시나 너무 잼있어요스토리 진행 영상몰입감 최고네유ㅎ올만에 극장에서 볼만한 영화였네여,positive
아바타- 불과 재,"바랑은 매력적이고 여전히 영상미는 훌륭합니다만, 2편과 비교하면 다소 실망스럽네요.  스토리가 전편들 재탕 새로움이 덜합니다.",바랑은 매력적이고 여전히 영상미는 훌륭합니다만 2편과 비교하면 다소 실망스럽네요  스토리가 전편들 재탕 새로움이 덜합니다,normal
아바타- 불과 재,감정적인 영화 좋아하시는 분들도 추천할 만합니다!,감정적인 영화 좋아하시는 분들도 추천할 만합니다,positive
아바타- 불과 재,액션 좋아하시는 분들도 충분히 만족하실 듯해요,액션 좋아하시는 분들도 충분히 만족하실 듯해요,positive
아바타- 불과 재,연대의식아래 펼쳐지는 육해공 활극액션에 눈이 휘둥그레 집니다. 역시 자연을 거스르면 안 됩니다.,연대의식아래 펼쳐지는 육해공 활극액션에 눈이 휘둥그레 집니다 역시 자연을 거스르면 안 됩니다,normal
아바타- 불과 재,전투씬에서도 캐릭터 감정이 살아 있어서 몰입함ㅋㅋ,전투씬에서도 캐릭터 감정이 살아 있어서 몰입함ㅋㅋ,positive
아바타- 불과 재,"금쪽이들은 언제 자라는지 ,, 연출도 낡았고 스토리도 낡았지만 영상미와 창의성이 그나마 있음",금쪽이들은 언제 자라는지  연출도 낡았고 스토리도 낡았지만 영상미와 창의성이 그나마 있음,normal
아바타- 불과 재,"3시간이라 걱정했는데
보는데 시간을 순삭시켜 버리네요. 
1시간30분 영화 보는 느낌으로
화려하고 아름다운 영상과 개성 뚜렷한 캐릭터들
다 만족스러운 관람이였습니다.",3시간이라 걱정했는데 보는데 시간을 순삭시켜 버리네요  1시간30분 영화 보는 느낌으로 화려하고 아름다운 영상과 개성 뚜렷한 캐릭터들 다 만족스러운 관람이였습니다,positive
